number,thick_u","thick_d",max_stress,max_strain
1,1.00,0.95,0.147825,1.05845789473684
2,1.02,0.95,0.423078947368421,1.14726842105263
3,1.06,0.92,0.389864130434783,1.12586315789474
4,1.18,1.28,0.280254237288136,1.15411052631579
5,0.89,0.96,0.146713483146067,1.09679473684211
6,1.02,0.96,0.263463541666667,1.09033684210526
7,0.89,0.97,0.381179775280899,1.11364736842105
8,1.21,1.12,0.360351239669421,1.17361052631579
9,1.14,1.11,0.292207207207207,1.13381578947368
10,0.97,1.02,0.407107843137255,1.14141052631579
11,1.25,1.19,0.204432773109244,1.08576842105263
13,1.15,1.13,0.482586956521739,1.17012105263158
14,1.12,1.15,0.223130434782609,1.1105
15,1.11,1.14,0.37625,1.19451052631579
16,1.04,1.18,0.4665625,1.16932631578947
17,1.13,1.22,0.410243362831858,1.14035789473684
18,0.88,0.96,0.485426136363636,1.16348947368421
19,0.91,0.95,0.485247252747253,1.17411052631579
20,0.91,0.91,0.569972527472527,1.18355789473684
